moped_component_id,pre_completion,post_completion
1120,16.0,15.0
1121,45.0,49.0
1122,452.0,34.0
1124,82.0,39.0
1125,81.0,42.0
1126,69.0,51.0
1127,177.0,321.0
1128,45.0,32.0
1129,6.0,10.0
1130,38.0,99.0
1131,8.0,20.0
1134,10.0,8.0
1135,90.0,51.0
1136,201.0,86.0
1137,547.0,0.0
1138,46.0,0.0
1139,11.0,4.0
1140,1.0,6.0
1141,1.0,5.0
1142,2.0,3.0
1143,14.0,3.0
1144,14.0,6.0
1145,11.0,1.0
1146,8.0,2.0
1147,8.0,1.0
1148,3.0,1.0
1149,102.0,46.0
1150,4.0,2.0
1151,930.0,748.0
1152,559.0,245.0
1153,567.0,280.0
1154,89.0,37.0
1155,6.0,0.0
1156,92.0,22.0
1157,0.0,86.0
1160,384.0,61.0
1161,23.0,3.0
1165,184.0,38.0
1167,29.0,7.0
1168,239.0,46.0
1169,74.0,12.0
1170,1.0,0.0
1171,1.0,0.0
1173,1.0,0.0
1174,26.0,7.0
1175,25.0,17.0
1176,38.0,26.0
1177,10.0,4.0
1178,135.0,59.0
1180,1.0,0.0
1181,15.0,5.0
1182,13.0,4.0
1183,3.0,1.0
1184,4.0,1.0
1185,939.0,199.0
1186,1.0,0.0
1187,43.0,7.0
1188,39.0,9.0
1189,1.0,1.0
1190,1.0,0.0
1191,111.0,89.0
1192,31.0,27.0
1193,631.0,195.0
1194,1498.0,470.0
1195,97.0,40.0
1196,2.0,0.0
1197,300.0,5.0
1198,68.0,0.0
1199,438.0,10.0
1200,454.0,24.0
1201,44.0,3.0
1202,9.0,0.0
1203,6.0,0.0
1204,8.0,0.0
1205,194.0,43.0
1206,339.0,62.0
1207,217.0,54.0
1208,277.0,58.0
1209,60.0,1.0
1210,87.0,39.0
1211,48.0,24.0
1212,224.0,96.0
1213,110.0,3.0
1214,167.0,7.0
1215,58.0,90.0
1216,205.0,14.0
1217,415.0,24.0
1218,164.0,28.0
1219,347.0,92.0
1220,156.0,5.0
1221,2.0,2.0
1222,4.0,0.0
1223,163.0,22.0
1226,1.0,1.0
1227,4.0,1.0
1228,33.0,29.0
1229,6.0,9.0
1230,30.0,50.0
1231,105.0,100.0
1232,8.0,10.0
1233,104.0,106.0
1234,156.0,130.0
1235,2.0,4.0
1236,15.0,24.0
1237,7.0,5.0
1238,2.0,3.0
1239,1.0,1.0
1240,4.0,17.0
1241,207.0,6.0
1242,2.0,0.0
1244,1.0,0.0
1245,3.0,0.0
1246,3.0,0.0
1248,2.0,0.0
1250,4.0,0.0
1252,2.0,0.0
1255,383.0,10.0
1257,1.0,0.0
1258,1.0,0.0
1261,2.0,0.0
1262,2.0,0.0
1263,222.0,41.0
1264,472.0,43.0
1265,374.0,60.0
1266,0.0,1.0
1267,3.0,3.0
1268,8.0,8.0
1269,2.0,0.0
1270,38.0,13.0
1271,77.0,36.0
1272,312.0,479.0
1273,34.0,42.0
1274,181.0,266.0
1275,0.0,207.0
1276,0.0,202.0
1277,0.0,53.0
1278,0.0,104.0
1279,0.0,10.0
1280,0.0,75.0
1281,0.0,6.0
1282,0.0,50.0
1283,0.0,1921.0
1284,0.0,133.0
1285,0.0,96.0
1286,0.0,241.0
1287,0.0,30.0
1288,0.0,50.0
1289,59.0,38.0
1290,281.0,114.0
1291,77.0,66.0
1292,90.0,83.0
1293,1.0,0.0
1294,58.0,31.0
1295,12.0,9.0
1298,3.0,0.0
1299,15.0,8.0
1300,8.0,11.0
1301,7.0,4.0
1302,14.0,9.0
1303,59.0,53.0
1304,177.0,122.0
1305,42.0,22.0
1307,29.0,24.0
1308,11.0,15.0
1309,510.0,345.0
1311,48.0,25.0
1312,41.0,9.0
1313,30.0,24.0
1314,59.0,35.0
1315,3.0,6.0
1316,762.0,624.0
1317,374.0,237.0
1318,7.0,4.0
1319,127.0,75.0
1320,32.0,29.0
1321,341.0,177.0
1322,464.0,213.0
1323,38.0,74.0
1324,10.0,22.0
1325,2.0,0.0
1326,6.0,1.0
1327,1.0,2.0
1328,301.0,79.0
1330,31.0,40.0
1331,135.0,95.0
1332,2.0,0.0
1333,39.0,31.0
1334,324.0,255.0
1335,172.0,113.0
1336,91.0,57.0
1337,71.0,30.0
1338,92.0,35.0
1339,173.0,122.0
1340,8.0,3.0
1341,167.0,122.0
1342,167.0,123.0
1343,166.0,118.0
1344,178.0,127.0
1345,167.0,124.0
1346,9.0,4.0
1347,161.0,120.0
1348,188.0,91.0
1349,128.0,58.0
1350,130.0,95.0
1351,127.0,67.0
1352,27.0,13.0
1353,40.0,16.0
1354,131.0,89.0
1358,1.0,0.0
1360,12.0,5.0
1363,29.0,23.0
1364,85.0,34.0
1365,356.0,161.0
1366,119.0,68.0
1368,5.0,0.0
1371,246.0,154.0
1372,181.0,147.0
1373,92.0,38.0
1374,104.0,52.0
1375,11.0,4.0
1376,5.0,0.0
1377,1.0,0.0
1378,136.0,108.0
1379,146.0,113.0
1380,124.0,52.0
1381,168.0,39.0
1382,925.0,146.0
1383,1005.0,159.0
1384,5.0,3.0
1386,15.0,2.0
1387,85.0,17.0
1390,370.0,348.0
1391,403.0,218.0
1392,280.0,221.0
1393,24.0,6.0
1394,4.0,0.0
1395,1.0,1.0
1396,45.0,21.0
1397,6.0,2.0
1398,99.0,28.0
1402,639.0,81.0
1403,1.0,0.0
1404,2.0,0.0
1405,1.0,0.0
1406,2.0,0.0
1409,1.0,1.0
1410,110.0,44.0
1411,28.0,19.0
1413,5.0,4.0
1414,3.0,1.0
1415,10.0,4.0
1416,104.0,30.0
1417,9.0,4.0
1418,11.0,4.0
1419,5.0,0.0
1421,32.0,11.0
1422,1.0,0.0
1423,18.0,11.0
1425,15.0,11.0
1426,3.0,13.0
1427,1.0,3.0
1428,3.0,12.0
1429,1.0,3.0
1430,2.0,3.0
1431,45.0,2.0
1432,495.0,346.0
1433,0.0,1.0
1435,3.0,0.0
1436,1.0,0.0
1438,6.0,2.0
1439,5.0,4.0
1440,3.0,6.0
1441,20.0,11.0
1443,2.0,0.0
1444,2.0,2.0
1445,386.0,50.0
1446,441.0,48.0
1447,360.0,57.0
1448,2.0,1.0
1449,71.0,44.0
1450,10.0,0.0
1451,7.0,2.0
1452,213.0,15.0
1453,188.0,17.0
1454,552.0,84.0
1455,26.0,11.0
1456,559.0,103.0
1457,154.0,16.0
1458,331.0,72.0
1459,231.0,56.0
1460,10.0,10.0
1461,109.0,9.0
1462,172.0,14.0
1463,73.0,6.0
1464,109.0,10.0
1465,86.0,8.0
1466,248.0,60.0
1467,270.0,61.0
1468,36.0,8.0
1469,137.0,0.0
1470,92.0,0.0
1471,17.0,0.0
1472,92.0,0.0
1473,2.0,0.0
1474,71.0,0.0
1475,73.0,1.0
1476,3.0,0.0
1477,13.0,0.0
1478,29.0,0.0
1479,19.0,3.0
1480,12.0,0.0
1481,12.0,0.0
1482,12.0,0.0
1483,7.0,0.0
1484,274.0,1.0
1485,50.0,0.0
1486,12.0,0.0
1487,12.0,0.0
1488,115.0,0.0
1489,15.0,1.0
